    .000   0.06     .000   0.03     .000    .000    .000    .000    .000   0.33    0.16        0      53  TOTAL HOUSEHOLDS
    .000   0.00     .000   0.00     .000    .000    .000   0.89     .000   0.00    0.14        0      59  STDNTS: PRIV GR13+
    .000   0.00     .000   0.00     .000    .000    .000   0.89     .000   0.00    0.14        0      60  STDNTS: PUBL GR13+
    .000   0.22     .000   0.06     .000    .000   1.26     .000    .000   0.76    0.21        0      61  STDNTS: PRIV K-12
    .000   0.22     .000   0.06     .000    .000   1.26     .000    .000   0.76    0.21        0      62  STDNTS: PUBL K-12
    .000   0.34     .000   0.10    1.96    0.19     .000    .000   1.07    0.49    0.62        1      65  retail employment: resident-oriented
    .000   0.53     .000   0.28    0.71    0.07     .000    .000   1.70    0.64    1.33        2      65  retail employment: resident-oriented
    .000   0.53     .000   0.28    0.71    0.07     .000    .000   1.70    1.20    2.50        3      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    0.71    0.07     .000    .000   3.75    1.30    2.65        4      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    0.71    0.07     .000    .000   3.75    1.30    2.65        5      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    0.71    0.07     .000    .000   3.75    1.30    2.65        6      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    0.71    0.07     .000    .000   3.75    1.30    2.65        7      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    0.71    0.07     .000    .000   3.75    1.30    2.65        8      65  retail employment: resident-oriented
    .000   0.80     .000   0.35    1.04    0.07     .000    .000   3.75    1.30    2.65        9      65  retail employment: resident-oriented
   1.30    0.12    0.39    0.06    0.25    0.01     .000    .000    .000   0.86    0.28        1      52  total employment
   1.30    0.12    0.37    0.06    0.21    0.01     .000    .000    .000   0.86    0.28        2      52  total employment
   1.30    0.12    0.37    0.06    0.21    0.01     .000    .000    .000   0.86    0.28        3      52  total employment
   1.30    0.12    0.34    0.06    0.22    0.01     .000    .000    .000   0.86    0.28        4      52  total employment
   1.30    0.12    0.34    0.06    0.22    0.01     .000    .000    .000   0.86    0.28        5      52  total employment
   1.30    0.12    0.32    0.06    0.20    0.01     .000    .000    .000   0.86    0.28        6      52  total employment
   1.30    0.12    0.32    0.06    0.20    0.01     .000    .000    .000   0.86    0.28        7      52  total employment
   1.30    0.12    0.32    0.06    0.20    0.01     .000    .000    .000   0.86    0.28        8      52  total employment
   1.30    0.12    0.32    0.06    0.20    0.01     .000    .000    .000   0.86    0.28        9      52  total employment
99999999
       1       2       3       4       5       6       7       8       9      10      11   atype     zi#  purpose number
     jtw     jtw     jtw     jtw     jaw     jaw     nwr     nwr     nwr     nwr     nwr                  journey-type
     hbw    hbnw      wb      nb      wb      nb   hbsch   hbcol    hbsh   hboth     nhb                  trip purpose

Area-type specific rates must precede universal rates.
