Table     9.01
 
***** AVG WEEKDAY STATION UTILIZATION (All Transit/All car HH) ************
Comparison of Station Boardings by Scenario for       3895 Stations
All Purposes All Transit  All car HH
                                                         Y2017 EXISTING                                     Y2017 NO-BUILD                                     Y2017 BUILD                             
                                               ================================================= ================================================= =================================================
Stop_id1                  Station Name            WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL   
========================= ==================== ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= =========
2287                      ALAPAI TRANSIT CENTE         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
746                       QUEEN EMMA ST + VINE         8         0         0         0         8         8         0         0         0         8         8         0         0         0         8
1003                      ALAPAI TRANSIT CENTE       144         0         0        15       159       144         0         0        15       159       144         0         0        15       159
1280                      BISHOP ST + QUEEN ST        53         2         0         6        61        53         2         0         6        61        53         2         0         6        61
326                       QUEEN ST + MILILANI         40         0         0         0        40        40         0         0         0        40        40         0         0         0        40
838                       QUEEN ST + OPP MILIL        46         0         0         0        46        46         0         0         0        46        46         0         0         0        46
329                       QUEEN ST + FORT ST M        62         0         0         0        62        62         0         0         0        62        62         0         0         0        62
320                       VINEYARD BL + PUNCHB         6         0         0        11        17         6         0         0        11        17         6         0         0        11        17
321                       PUNCHBOWL ST + MILLE        55         0         0         0        55        55         0         0         0        55        55         0         0         0        55
324                       PUNCHBOWL ST + S KIN        36         0         0         2        37        36         0         0         2        37        36         0         0         2        37
840                       QUEEN ST + SOUTH ST          0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
323                       PUNCHBOWL ST + MAIN         46         0         0         1        47        46         0         0         1        47        46         0         0         1        47
1111                      SOUTH ST + HALEKAUWI        15         0         0         0        15        15         0         0         0        15        15         0         0         0        15
836                       QUEEN ST + ALAKEA ST         2         0         0         4         6         2         0         0         4         6         2         0         0         4         6
1405                      S KING ST + ALAKEA S       297         0         0       129       426       297         0         0       129       426       297         0         0       129       426
837                       QUEEN ST + RICHARDS          8         0         0         2        10         8         0         0         2        10         8         0         0         2        10
328                       QUEEN ST + BISHOP ST        26         0         0        13        39        26         0         0        13        39        26         0         0        13        39
389                       NUUANU AVE + VINEYAR         4         1         0         0         5         4         1         0         0         5         4         1         0         0         5
1066                      SOUTH ST + KAWAIAHAO         4         0         0         0         4         4         0         0         0         4         4         0         0         0         4
332                       BETHEL ST + S BERETA        34         0         0         0        34        34         0         0         0        34        34         0         0         0        34
327                       QUEEN ST + RICHARDS         30         0         0         6        36        30         0         0         6        36        30         0         0         6        36
896                       ALA MOANA BL + RICHA        68         0         0         4        72        68         0         0         4        72        68         0         0         4        72
322                       PUNCHBOWL ST + S BER        22         1         0        66        89        22         1         0        66        89        22         1         0        66        89
839                       QUEEN ST + PUNCHBOWL        16         0         0         0        16        16         0         0         0        16        16         0         0         0        16
182                       RIVER ST + N BERETAN        18         0         0         0        19        18         0         0         0        19        18         0         0         0        19
950                       PUNCHBOWL ST + HALEK       126         0         0         0       126       126         0         0         0       126       126         0         0         0       126
745                       QUEEN EMMA ST + S BE         1         0         0        14        15         1         0         0        14        15         1         0         0        14        15
1281                      ALOHA TOWER                 71         0         0         0        72        71         0         0         0        72        71         0         0         0        72
333                       NUUANU AVE + KUKUI S        11         0         0        18        29        11         0         0        18        29        11         0         0        18        29
392                       NUUANU AVE + PAUAHI         95         3         0         1        99        95         3         0         1        99        95         3         0         1        99
391                       NUUANU AVE + S BERET        73         0         0         6        79        73         0         0         6        79        73         0         0         6        79
833                       PALI HWY + S BERETAN       232         4         0       389       626       232         4         0       389       626       232         4         0       389       626
44                        S BERETANIA ST + ALA       381         0         0        12       393       381         0         0        12       393       381         0         0        12       393
325                       QUEEN ST + PUNCHBOWL        44         0         0         0        44        44         0         0         0        44        44         0         0         0        44
592                       N KING ST + RIVER ST        80         0         0       117       197        80         0         0       117       197        80         0         0       117       197
132                       S KING ST + SOUTH ST        75         0         0         1        77        75         0         0         1        77        75         0         0         1        77
390                       NUUANU AVE + KUKUI S        10         0         0         0        10        10         0         0         0        10        10         0         0         0        10
897                       ALAKEA ST + NIMITZ H       267         0         0        27       293       267         0         0        27       293       267         0         0        27       293
1408                      RIVER ST + N HOTEL S        16         0         0        89       105        16         0         0        89       105        16         0         0        89       105
436                       KAPIOLANI BL + SOUTH       184         0         0        66       250       184         0         0        66       250       184         0         0        66       250
331                       BETHEL ST + S HOTEL         15         0         0        43        59        15         0         0        43        59        15         0         0        43        59
49                        N HOTEL ST + SMITH S       231         0         0         0       232       231         0         0         0       232       231         0         0         0       232
330                       BETHEL ST + S KING S        33         0         0         7        41        33         0         0         7        41        33         0         0         7        41
130                       S HOTEL ST + RICHARD       840         2         0        91       932       840         2         0        91       932       840         2         0        91       932
737                       S BERETANIA ST + ETE         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
129                       S HOTEL ST + ALAKEA        266         0         0       262       528       266         0         0       262       528       266         0         0       262       528
127                       S HOTEL ST + BETHEL       1066         2         0        30      1098      1066         2         0        30      1098      1066         2         0        30      1098
